Abashiri Station,網走駅（あばしり）
Bungo-Taketa Station,豊後竹田駅（ぶんごたけた）
Bungo-Toyooka Station,豊後豊岡駅（ぶんごとよおか）
Bunkanomori Station,文化の森駅（ぶんかのもり）
Bunsui Station,分水駅（ぶんすい）
Bus Center Mae Station,バスセンター前駅（バスセンターまえ）
Bushi Station,仏子駅（ぶし）
Bushū-Araki Station,武州荒木駅（ぶしゅうあらき）
Bushū-Hino Station,武州日野駅（ぶしゅうひの）
Bushū-Karasawa Station,武州唐沢駅（ぶしゅうからさわ）
Bushū-Nagase Station,武州長瀬駅（ぶしゅうながせ）
Bushū-Nakagawa Station,武州中川駅（ぶしゅうなかがわ）
Busshōzan Station,仏生山駅（ぶっしょうざん）
Buzen-Ōkuma Station,豊前大熊駅（ぶぜんおおくま）
Buzen-Kawasaki Station,豊前川崎駅（ぶぜんかわさき）
Buzen-Masuda Station,豊前桝田駅（ぶぜんますだ）
Buzen-Nagasu Station,豊前長洲駅（ぶぜんながす）
Buzen-Shōe Station,豊前松江駅（ぶぜんしょうえ）
Buzen-Zenkōji Station,豊前善光寺駅（ぶぜんぜんこうじ）
Byōbugaura Station,屏風浦駅（びょうぶがうら）
Cable Enryakuji Station,ケーブル延暦寺駅（けーぶるえんりゃくじ）
Cable Hiei Station,ケーブル比叡駅（けーぶるひえい）
Cable Sakamoto Station,ケーブル坂本駅（けーぶるさかもと）
Cable Sanjō Station,ケーブル山上駅（けーぶるさんじょう）
Cable Yase Station,ケーブル八瀬駅（けーぶるやせ）
Center Kita Station,センター北駅（せんたーきた）
Center Minami Station,センター南駅（せんたーみなみ）
Central Japan International Airport Station,中部国際空港駅（ちゅうぶこくさいくうこう）
Chajo Station,茶所駅（ちゃじょ）
Chanai Station,茶内駅（ちゃない）
Chashinai Station,茶志内駅（ちゃしない）
Chausuyama Station,茶臼山駅（ちゃうすやま）
Chayagasaka Station,茶屋ヶ坂駅（ちゃやがさか）
Chayama Station (Fukuoka),茶山駅 (福岡県)（ちゃやま）
Chayama Station (Kyoto),茶山駅 (京都府)（ちゃやま）
Chayamachi Station,茶屋町駅（ちゃやまち）
Chiba New Town Chūō Station,千葉ニュータウン中央駅（ちばニュータウンちゅうおう）
Chiba Station,千葉駅（ちば）
Chiba-Chūō Station,千葉中央駅（ちばちゅうおう）
Chibadera Station,千葉寺駅（ちばでら）
Chibakōen Station,千葉公園駅（ちばこうえん）
Chibaminato Station,千葉みなと駅（ちばみなと）
Chibata Station,知波田駅（ちばた）
Chibiki Station,千曳駅（ちびき）
Chibune Station,千船駅（ちぶね）
Chichibu Station,秩父駅（ちちぶ）
Chidori Station,千鳥駅（ちどり）
Chidoribashi Station,千鳥橋駅（ちどりばし）
Chidorichō Station,千鳥町駅 (東京都)（ちどりちょう）
Chiebun Station,智恵文駅（ちえぶん）
Chigane Station,千金駅（ちがね）
Chigaki Station,千垣駅（ちがき）
Chigasaki Station,茅ヶ崎駅（ちがさき）
Chigozuka Station,稚子塚駅（ちごづか）
Chiharadai Station,ちはら台駅（ちはらだい）
Chihaya Station,千早駅（ちはや）
Chihayaguchi Station,千早口駅（ちはやぐち）
Chihoku Station,智北駅（ちほく）
Chiji Station,千路駅（ちじ）
Chikabumi Station,近文駅（ちかぶみ）
Chikagawa Station,近川駅（ちかがわ）
Chikanaga Station,近永駅（ちかなが）
Chikata Station,近田駅（ちかた）
Chikatetsu-Akatsuka Station,地下鉄赤塚駅（ちかてつあかつか）
Chikatetsu-Narimasu Station,地下鉄成増駅（ちかてつなります）
Chikatsu Station,近津駅（ちかつ）
Chikkōchō Station,築港町駅（ちっこうちょう）
Chiku Center Station,地区センター駅（ちくセンター）
Chikugo-Funagoya Station,筑後船小屋駅（ちくごふなごや）
Chikugo-Kusano Station,筑後草野駅（ちくごくさの）
Chikugo-Ōishi Station,筑後大石駅（ちくごおおいし）
Chikugo-Yoshii Station,筑後吉井駅（ちくごよしい）
Chikuhō-Katsuki Station,筑豊香月駅（ちくほうかつき）
Chikuhō-Nakama Station,筑豊中間駅（ちくほうなかま）
Chikuhō-Nōgata Station,筑豊直方駅（ちくほうのおがた）
Chikuma Station,千曲駅（ちくま）
Chikuni Station,千国駅（ちくに）
Chikura Station,千倉駅（ちくら）
Chikusa Station,千種駅（ちくさ）
Chikushi Station,筑紫駅（ちくし）
Chikuzen-Iwaya Station,筑前岩屋駅（ちくぜんいわや）
Chikuzen-Daibu Station,筑前大分駅（ちくぜんだいぶ）
Chikuzen-Fukae Station,筑前深江駅（ちくぜんふかえ）
Chikuzen-Habu Station,筑前垣生駅（ちくぜんはぶ）
Chikuzen-Maebaru Station,筑前前原駅（ちくぜんまえばる）
Chikuzen-Shōnai Station,筑前庄内駅（ちくぜんしょうない）
Chikuzen-Uchino Station,筑前内野駅（ちくぜんうちの）
Chikuzen-Ueki Station,筑前植木駅（ちくぜんうえき）
Chikuzen-Yamae Station,筑前山家駅（ちくぜんやまえ）
Chikuzen-Yamate Station,筑前山手駅（ちくぜんやまて）
Chino Station,茅野駅（ちの）
Chippubetsu Station,秩父別駅（ちっぷべつ）
Chiraiotsu Station,知来乙駅（ちらいおつ）
Chiryū Station,知立駅（ちりゅう）
Chisato Station (Mie),千里駅 (三重県)（ちさと）
Chisato Station (Toyama),千里駅 (富山県)（ちさと）
Chishirodai Station,千城台駅（ちしろだい）
Chishirodai-Kita Station,千城台北駅（ちしろだいきた）
Chita-Handa Station,知多半田駅（ちたはんだ）
Chita-Okuda Station,知多奥田駅（ちたおくだ）
Chita-Taketoyo Station,知多武豊駅（ちたたけとよ）
Chitetsubirumae Station,地鉄ビル前駅（ちてつびるまえ）
Chitose Station (Aomori),千年駅（ちとせ）
Chitose Station (Chiba),千歳駅 (千葉県)（ちとせ）
Chitose Station (Hokkaido),千歳駅 (北海道)（ちとせ）
Chitose-Funabashi Station,千歳船橋駅（ちとせふなばし）
Chitose-Karasuyama Station,千歳烏山駅（ちとせからすやま）
Chitō Station,智東駅（ちとう）
Chiwa Station,知和駅（ちわ）
Chiwata Station,千綿駅（ちわた）
Chiyo Station,千代駅（ちよ）
Chiyoda Station,千代田駅（ちよだ）
Chiyogaoka Station,千代ヶ岡駅（ちよがおか）
Chiyokawa Station,千代川駅（ちよかわ）
Chiyo-Kenchōguchi Station,千代県庁口駅（ちよけんちょうぐち）
Chiyozaki Station,千代崎駅（ちよざき）
Chizu Station,智頭駅（ちず）
Chōfu Station (Tokyo),調布駅（ちょうふ）
Chōfu Station (Yamaguchi),長府駅（ちょうふ）
Chōgo Station,長後駅（ちょうご）
Chōjabaru Station,長者原駅（ちょうじゃばる）
Chōjagahama Shiosai Hamanasu Kōenmae Station,長者ヶ浜潮騒はまなす公園前駅（ちょうじゃがはましおさいはまなすこうえんまえ）
Chōjamachi Station,長者町駅（ちょうじゃまち）
Chōkokunomori Station,彫刻の森駅（ちょうこくのもり）
Chokubetsu Station,直別駅（ちょくべつ）
Chokushi Station,勅旨駅（ちょくし）
Chōmonkyō Station,長門峡駅（ちょうもんきょう）
Chōrakuji Station,長楽寺駅（ちょうらくじ）
Chōsa Station,帖佐駅（ちょうさ）
Chōshi Station,銚子駅（ちょうし）
Chōshiguchi Station,銚子口駅（ちょうしぐち）
Chōyō Station,長陽駅（ちょうよう）
Chūbu-Tenryū Station,中部天竜駅（ちゅうぶてんりゅう）
Chūden Station,中田駅 (徳島県)（ちゅうでん）
Chūgakkō Station,中学校駅（ちゅうがっこう）
Chūgoku-Katsuyama Station,中国勝山駅（ちゅうごくかつやま）
Chūgun Station,中郡駅 (山形県)（ちゅうぐん）
Chūkyōkeibajōmae Station,中京競馬場前駅（ちゅうきょうけいばじょうまえ）
Chūōdaigaku Meiseidaigaku Station,中央大学・明星大学駅
Chūō-Hirosaki Station,中央弘前駅（ちゅうおうひろさき）
Chūōichibamae Station,中央市場前駅（ちゅうおういちばまえ）
Chūō-Maebashi Station,中央前橋駅（ちゅうおうまえばし）
Chūō-Rinkan Station,中央林間駅（ちゅうおうりんかん）
Chūshojima Station,中書島駅（ちゅうしょじま）
Cosmosquare Station,コスモスクエア駅（コスモスクエア）
Daian Station,大安駅（だいあん）
Daianji Station,大安寺駅（だいあんじ）
Daiba Station (Shizuoka),大場駅（だいば）
Daiba Station (Tokyo),台場駅（だいば）
Daidō Station,大道駅（だいどう）
Daidōchō Station,大同町駅（だいどうちょう）
Daidō-Toyosato Station,だいどう豊里駅（だいどうとよさと）
Daifuku Station,大福駅（だいふく）
Daigaku Station,大学駅（だいがく）
Daigakumae Station (Nagano),大学前駅 (長野県)（だいがくまえ）
Daigakumae Station (Shiga),大学前駅 (滋賀県)（だいがくまえ）
Daigakumae Station (Toyama),大学前停留場（だいがくまえ）
Daigo Station (Akita),醍醐駅 (秋田県)（だいご）
Daigo Station (Kyoto),醍醐駅 (京都府)（だいご）
Daigyōji Station,大行司駅（だいぎょうじ）
Daihō Station,大宝駅（だいほう）
Daiichidōri Station,第一通り駅（だいいちどおり）
Daijingūshita Station,大神宮下駅（だいじんぐうした）
Daikai Station,大開駅（だいかい）
Daikanchō Station,代官町駅（だいかんちょう）
Daikan-yama Station,代官山駅（だいかんやま）
Daikokuchō Station,大国町駅（だいこくちょう）
Daimon Station (Aichi),大門駅 (愛知県)（だいもん）
Daimon Station (Hiroshima),大門駅 (広島県)（だいもん）
Daimon Station (Tokyo),大門駅 (東京都)（だいもん）
Daimotsu Station,大物駅（だいもつ）
Dainichi Station,大日駅（だいにち）
Dainohara Station,台原駅（だいのはら）
Dainyū Station,大入駅（だいにゅう）
Daisenguchi Station,大山口駅（だいせんぐち）
Daisenji Station,大川寺駅（だいせんじ）
Daishaka Station,大釈迦駅（だいしゃか）
Daishimae Station,大師前駅（だいしまえ）
Daishōji Station,大聖寺駅（だいしょうじ）
Daitabashi Station,代田橋駅（だいたばし）
Daitembōdai Station,大展望台駅（だいてんぼうだい）
Daitō Station,大塔駅（だいとう）
Daiyamukō Station,大谷向駅（だいやむこう）
Daiyūzan Station,大雄山駅（だいゆうざん）
Daizenji Station,大善寺駅（だいぜんじ）
Dan Station,段駅（だん）
Dashina Station,駄科駅（だしな）
Date Station,伊達駅（だて）
Date-Mombetsu Station,伊達紋別駅（だてもんべつ）
Dazaifu Station,太宰府駅（だざいふ）
Dekijima Station,出来島駅（できじま）
Demachiyanagi Station,出町柳駅（でまちやなぎ）
Dempō Station,伝法駅（でんぽう）
Den-en-chōfu Station,田園調布駅（でんえんちょうふ）
Dentetsu Ishida Station,電鉄石田駅（でんてついしだ）
Dentetsu Izumoshi Station,電鉄出雲市駅（でんてついずもし）
Dentetsu Kurobe Station,電鉄黒部駅（でんてつくろべ）
Dentetsutāminarubiru-mae Station,電鉄ターミナルビル前駅（でんてつたーみなるびるまえ）
Dentetsu Toyama Station,電鉄富山駅（でんてつとやま）
Dentetsu Uozu Station,電鉄魚津駅（でんてつうおづ）
Deto Station,出戸駅（でと）
Detohama Station,出戸浜駅（でとはま）
Deyashiki Station,出屋敷駅（でやしき）
Doai Station,土合駅（どあい）
Dobashi Station (Ehime),土橋駅 (愛媛県)（どばし）
Dobashi Station (Hiroshima),土橋駅 (広島県)（どばし）
Dobukai Station,土深井駅（どぶかい）
Dōbutsuen Station,動物園駅（どうぶつえん）
Dōbutsuen-mae Station,動物園前駅（どうぶつえんまえ）
Dōbutsukōen Station,動物公園駅（どうぶつこうえん）
Dōgokōen Station,道後公園駅（どうごこうえん）
Dōgo-Onsen Station,道後温泉駅（どうごおんせん）
Dogoyama Station,道後山駅（どうごやま）
Dōhōji Station,道法寺駅（どうほうじ）
Doi Station (Fukuoka),土井駅（どい）
Doi Station (Osaka),土居駅（どい）
Doichi Station,土市駅（どいち）
Doida Station,土居田駅（どいだ）
Dōjima Station,堂島駅（どうじま）
Dōjō Station,道場駅（どうじょう）
Dōjōji Station,道成寺駅（どうじょうじ）
Dōjō-minamiguchi Station,道場南口駅（どうじょうみなみぐち）
Domeki Station,轟駅（どめき）
Dome-mae Station,ドーム前駅（どーむまえ）
Dome-mae Chiyozaki Station,ドーム前千代崎駅（どーむまえちよざき）
Domoto Station,土本駅（どもと）
Dōmyōji Station,道明寺駅（どうみょうじ）
Dōsen Station,洞泉駅（どうせん）
Dōshishamae Station,同志社前駅（どうししゃまえ）
Dōshokubutsuen-iriguchi Station,動植物園入口停留場（どうしょくぶつえんいりぐち）
Dosokohama Station,土底浜駅（どそこはま）
Dōtoku Station,道徳駅（どうとく）
Eba Station,江波駅（えば）
Ebara Station,江原駅（えばら）
Ebaramachi Station,荏原町駅（えばらまち）
Ebara-Nakanobu Station,荏原中延駅（えばらなかのぶ）
Ebata Station,江端駅（えばた）
Ebeotsu Station,江部乙駅（えべおつ）
Ebetsu Station,江別駅（えべつ）
Ebi Station,江尾駅（えび）
Ebie Station,海老江駅（えびえ）
Ebina Station,海老名駅（えびな）
Ebino Station,えびの駅
Ebino-Iino Station,えびの飯野駅（えびのいいの）
Ebino-Uwae Station,えびの上江駅（えびのうわえ）
Ebishima Station,恵比島駅（えびしま）
Ebisu Station (Hyogo),恵比須駅（えびす）
Ebisu Station (Tokyo),恵比寿駅（えびす）
Ebisuchō Station (Osaka),恵美須町駅（えびすちょう）
Ebisuchō Station (Hiroshima),胡町駅（えびすちょう）
Ebitsu Station,海老津駅（えびつ）
Echigawa Station,愛知川駅（えちがわ）
Echigo-Akatsuka Station,越後赤塚駅（えちごあかつか）
Echigo-Hayakawa Station,越後早川駅（えちごはやかわ）
Echigo-Hirose Station,越後広瀬駅（えちごひろせ）
Echigo-Hirota Station,越後広田駅（えちごひろた）
Echigo-Horinouchi Station,越後堀之内駅（えちごほりのうち）
Echigo-Ishiyama Station,越後石山駅（えちごいしやま）
Echigo-Iwasawa Station,越後岩沢駅（えちごいわさわ）
Echigo-Iwatsuka Station,越後岩塚駅（えちごいわつか）
Echigo-Kanamaru Station,越後金丸駅（えちごかなまる）
